typing_speed,backspace_key_press_freq,max_text,touch_count,shake_count,arousal
2.4286,0,26,26,86,0
2.4286,0,21,21,25,0
2.8571,0,12,12,23,0
2.1429,0,17,17,43,0
1.8571,0,22,22,62,0
1.7143,0,29,29,120,0
1.7143,0,30,30,63,0
2.0000,0,20,20,3,0
2.0000,0,12,12,6,0
1.8571,0,12,12,13,0
2.0000,0,24,24,78,0
2.1429,0,23,23,90,0
2.2857,0,27,27,62,0
1.5714,0,18,18,13,0
2.0000,0,15,15,12,0
1.8571,0,13,13,21,0
1.7143,0,32,32,106,0
1.4286,0,34,34,110,0
2.0000,0,28,28,69,0
1.8571,0,21,21,28,0
2.0000,0,12,12,21,0
2.0000,1,13,14,29,0
2.2857,0,30,30,126,0
2.1429,4,24,28,99,0
2.1429,4,24,28,38,0
2.1429,0,25,25,20,0
2.0000,0,16,16,27,0
1.8571,0,23,23,44,0
1.5714,0,20,20,78,0
1.7143,0,24,24,64,0
1.7143,1,27,28,34,0
1.1429,0,26,26,6,0
1.8571,0,13,13,9,0
1.8571,0,27,27,42,0
2.1429,0,32,32,77,0
2.0000,0,27,27,66,0
2.0000,0,30,30,106,0
2.2857,0,27,27,39,0
2.0000,0,14,14,19,0
2.1429,0,33,33,93,0
2.0000,0,32,32,135,0
1.8571,0,32,32,75,0
1.7143,1,29,30,48,0
1.7143,0,25,25,35,0
2.1429,0,20,20,57,0
1.7143,0,30,30,103,0
2.0000,2,27,29,159,0
1.8571,0,32,32,97,0
1.5714,5,22,27,48,0
1.8571,0,26,26,11,0
1.7143,0,23,23,76,0
2.1429,0,29,29,129,0
2.0000,11,18,29,97,0
2.1429,0,33,33,104,0
2.2857,6,19,25,114,0
2.1429,0,28,28,29,0
-9.8571,0,22,22,159,0
2.1429,0,30,30,133,0
2.0000,3,25,28,117,0
1.8571,2,32,34,85,0
2.1429,5,23,28,64,0
2.2857,0,31,31,52,0
1.7143,4,25,29,123,0
1.8571,2,21,23,157,0
1.7143,3,25,28,154,0
2.0000,1,16,17,154,0
1.8571,0,34,34,81,0
1.7143,1,29,30,69,0
1.8571,6,26,32,154,0
2.0000,0,29,29,115,0
1.8571,0,28,28,134,0
2.0000,4,30,34,132,0
1.5714,4,15,19,52,0
2.1429,9,17,26,98,0
2.1429,0,32,32,163,0
2.2857,0,30,30,178,0
2.1429,4,22,26,161,0
2.1429,0,31,31,111,0
1.8571,0,34,34,82,0
1.8571,8,24,32,146,0
1.1429,0,33,33,121,0
2.0000,0,32,32,118,0
2.1429,0,29,29,139,0
1.2857,0,32,32,153,0
1.8571,0,29,29,83,0
2.0000,9,25,34,110,0
2.0000,1,19,20,90,0
2.0000,0,31,31,118,0
2.2857,0,27,27,154,0
2.1429,4,18,22,125,0
1.8571,0,27,27,104,0
2.0000,0,32,32,128,0
2.1429,4,23,27,121,0
2.0000,0,29,29,122,0
1.2857,0,27,27,145,0
1.8571,4,25,29,106,0
1.7143,0,21,21,115,0
2.0000,0,36,36,160,0
2.0000,2,28,30,106,0
1.4286,3,23,26,106,0
1.5714,0,26,26,147,0
2.1429,0,32,32,114,0
1.8571,0,14,14,138,0
1.8571,8,22,30,172,0
1.8571,0,35,35,140,0
2.1429,0,28,28,120,0
1.2857,0,23,23,131,0
2.0000,0,26,26,141,0
2.2857,1,12,13,127,0
2.2857,0,28,28,112,0
2.2857,0,32,32,70,0
2.2857,0,30,30,98,0
1.8571,3,25,28,103,0
4.5714,0,14,14,61,1
4.4286,0,11,11,131,1
4.5714,1,25,26,165,1
4.1429,0,30,30,139,1
4.2857,0,32,32,125,1
4.4286,0,13,13,14,1
4.4286,0,13,13,71,1
4.1429,0,14,14,135,1
4.1429,0,28,28,147,1
4.5714,0,30,30,124,1
4.0000,0,26,26,74,1
4.7143,0,13,13,5,1
4.5714,0,14,14,54,1
4.8571,0,14,14,173,1
4.2857,0,26,26,139,1
4.4286,0,32,32,138,1
4.4286,0,23,23,37,1
4.5714,0,14,14,9,1
4.4286,0,13,13,46,1
4.4286,0,14,14,144,1
4.2857,0,27,27,139,1
4.1429,0,31,31,101,1
4.2857,0,17,17,36,1
3.8571,0,15,15,21,1
4.2857,0,13,13,70,1
4.5714,0,13,13,84,1
4.5714,1,22,23,90,1
2.5714,1,25,26,71,1
4.7143,0,13,13,4,1
4.2857,0,13,13,15,1
4.7143,0,12,12,39,1
4.1429,0,12,12,159,1
4.7143,0,25,25,164,1
4.1429,0,23,23,94,1
5.1429,0,16,16,33,1
4.7143,0,15,15,21,1
4.4286,0,16,16,76,1
4.8571,0,16,16,194,1
4.4286,0,27,27,160,1
3.2857,0,21,21,63,1
3.4286,0,13,13,24,1
4.2857,0,14,14,8,1
3.0000,0,14,14,84,1
3.8571,0,13,13,163,1
4.1429,1,22,23,195,1
3.0000,0,12,12,23,1
3.7143,0,13,13,20,1
3.1429,0,12,12,25,1
4.4286,0,13,13,54,1
3.5714,0,13,13,189,1
0.8571,0,22,22,142,1
2.8571,0,15,15,46,1
4.0000,0,16,16,86,1
4.0000,0,15,15,11,1
3.8571,0,9,9,76,1
3.4286,0,7,7,185,1
2.2857,0,12,12,104,1
4.2857,0,13,13,15,1
3.8571,0,14,14,13,1
1.8571,0,14,14,15,1
3.2857,0,15,15,80,1
2.4286,0,16,16,169,1
3.4286,0,13,13,43,1
3.0000,0,12,12,25,1
3.0000,0,13,13,43,1
3.4286,0,13,13,37,1
4.8571,1,13,14,76,1
2.0000,0,15,15,197,1
3.2857,0,12,12,17,1
2.7143,0,14,14,39,1
4.2857,0,13,13,64,1
2.8571,0,14,14,27,1
4.0000,1,12,13,63,1
4.2857,0,15,15,131,1
2.4286,0,15,15,40,1
4.7143,0,15,15,39,1
4.2857,0,15,15,29,1
4.2857,0,16,16,38,1
4.5714,0,13,13,50,1
4.0000,2,12,14,82,1
1.0000,0,11,11,16,1
3.8571,2,11,13,7,1
